sampleid	ScientificName	SampleName	RecipientID	DonorID	DonationType	Days-Since-Start
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
SRR6824096	bovine gut metagenome	231-0	231	9	LL	0
SRR6824097	bovine gut metagenome	231-28	231	9	LL	28
SRR6824098	bovine gut metagenome	231-7	231	9	LL	7
SRR6824099	bovine gut metagenome	89-28	89	67	LH	28
SRR6824100	bovine gut metagenome	89-7	89	67	LH	7
SRR6824101	bovine gut metagenome	89-1	89	67	LH	1
SRR6824102	bovine gut metagenome	89-0	89	67	LH	0
SRR6824103	bovine gut metagenome	107-28	107	31	HL	28
SRR6824104	bovine gut metagenome	107-7	107	31	HL	7
SRR6824105	bovine gut metagenome	107-1	107	31	HL	1
SRR6824106	bovine gut metagenome	107-0	107	31	HL	0
SRR6824107	bovine gut metagenome	73-28	73	Control	C	28
SRR6824108	bovine gut metagenome	73-7	73	Control	C	7
SRR6824109	bovine gut metagenome	135-1	135	223	HH	1
SRR6824110	bovine gut metagenome	135-0	135	223	HH	0
SRR6824111	bovine gut metagenome	463-1	463	485	LH	1
SRR6824112	bovine gut metagenome	463-0	463	485	LH	0
SRR6824113	bovine gut metagenome	485-1	485	463	HL	1
SRR6824114	bovine gut metagenome	485-0	485	463	HL	0
SRR6824115	bovine gut metagenome	73-1	73	Control	C	1
SRR6824116	bovine gut metagenome	481-7	481	483	HL	7
SRR6824117	bovine gut metagenome	35-1	35	59	HH	1
SRR6824118	bovine gut metagenome	73-0	73	Control	C	0
SRR6824119	bovine gut metagenome	 9-7	9	231	LL	7
SRR6824120	bovine gut metagenome	 9-28	9	231	LL	28
SRR6824121	bovine gut metagenome	 9-0	9	231	LL	0
SRR6824122	bovine gut metagenome	 9-1	9	231	LL	1
SRR6824123	bovine gut metagenome	31-7	31	107	LH	7
SRR6824124	bovine gut metagenome	31-28	31	107	LH	28
SRR6824125	bovine gut metagenome	31-0	31	107	LH	0
SRR6824126	bovine gut metagenome	31-1	31	107	LH	1
SRR6824127	bovine gut metagenome	485-7	485	463	HL	7
SRR6824128	bovine gut metagenome	201-7	201	247	LL	7
SRR6824129	bovine gut metagenome	483-7	483	481	LH	7
SRR6824130	bovine gut metagenome	201-28	201	247	LL	28
SRR6824131	bovine gut metagenome	223-0	223	135	HH	0
SRR6824132	bovine gut metagenome	169-0	169	Control	C	0
SRR6824133	bovine gut metagenome	67-7	67	89	HL	7
SRR6824134	bovine gut metagenome	67-28	67	89	HL	28
SRR6824135	bovine gut metagenome	223-7	223	135	HH	7
SRR6824136	bovine gut metagenome	223-28	223	135	HH	28
SRR6824137	bovine gut metagenome	223-1	223	135	HH	1
SRR6824138	bovine gut metagenome	59-0	59	35	HH	0
SRR6824139	bovine gut metagenome	59-1	59	35	HH	1
SRR6824140	bovine gut metagenome	35-7	35	59	HH	7
SRR6824141	bovine gut metagenome	35-28	35	59	HH	28
SRR6824142	bovine gut metagenome	67-0	67	89	HL	0
SRR6824143	bovine gut metagenome	67-1	67	89	HL	1
SRR6824144	bovine gut metagenome	59-7	59	35	HH	7
SRR6824145	bovine gut metagenome	59-28	59	35	HH	28
SRR6824146	bovine gut metagenome	483-0	483	481	LH	0
SRR6824147	bovine gut metagenome	483-1	483	481	LH	1
SRR6824148	bovine gut metagenome	135-28	135	223	HH	28
SRR6824149	bovine gut metagenome	481-28	481	483	HL	28
SRR6824150	bovine gut metagenome	481-0	481	483	HL	0
SRR6824151	bovine gut metagenome	481-1	481	483	HL	1
SRR6824152	bovine gut metagenome	463-7	463	485	LH	7
SRR6824153	bovine gut metagenome	463-28	463	485	LH	28
SRR6824154	bovine gut metagenome	201-0	201	247	LL	0
SRR6824155	bovine gut metagenome	169-28	169	Control	C	28
SRR6824156	bovine gut metagenome	201-1	201	247	LL	1
SRR6824157	bovine gut metagenome	483-28	483	481	LH	28
SRR6824158	bovine gut metagenome	169-7	169	Control	C	7
SRR6824159	bovine gut metagenome	247-1	247	201	LL	1
SRR6824160	bovine gut metagenome	247-0	247	201	LL	0
SRR6824161	bovine gut metagenome	247-28	247	201	LL	28
SRR6824162	bovine gut metagenome	35-0	35	59	HH	0
SRR6824163	bovine gut metagenome	135-7	135	223	HH	7
SRR6824164	bovine gut metagenome	247-7	247	201	LL	7
SRR6824165	bovine gut metagenome	169-1	169	Control	C	1
SRR6824166	bovine gut metagenome	231-1	231	9	LL	1
SRR6824167	bovine gut metagenome	485-28	485	463	HL	28
